order_id,customer_id,order_date,order_amount
54981,9999,2024-03-06 14:00:00,19.49
54982,9999,2024-03-06 14:10:00,121.85
54983,9999,2024-03-06 14:20:00,112.97
54984,9999,2024-03-06 14:30:00,33.35
54985,9999,2024-03-06 14:40:00,389.37
54986,9999,2024-03-06 14:50:00,97.18
54987,9999,2024-03-06 15:00:00,792.07
54988,9999,2024-03-06 15:10:00,91.73
54989,9999,2024-03-06 15:20:00,150.46
54990,9999,2024-03-06 15:30:00,26.6
54991,9999,2024-03-06 15:40:00,100.83
54992,9999,2024-03-06 15:50:00,50.92
54993,9999,2024-03-06 16:00:00,280.79
54994,9999,2024-03-06 16:10:00,239.82
54995,9999,2024-03-06 16:20:00,270.74
54996,9999,2024-03-06 16:30:00,202.89
54997,9999,2024-03-06 16:40:00,278.18
54998,9999,2024-03-06 16:50:00,43.63
54999,9999,2024-03-06 17:00:00,100.23
55000,9999,2024-03-06 17:10:00,186.57
