customer_id,customer_type,order_id,order_date,product_id,product_name,quantity,unit_price,line_total
1355,Enterprise,54973.0,2024-03-06 12:40:00,,,,,
1381,Enterprise,54967.0,2024-03-06 11:40:00,,,,,
1751,Enterprise,54956.0,2024-03-06 09:50:00,493.0,Product_493,5.0,24.57,122.85
1146,Enterprise,54942.0,2024-03-06 07:30:00,639.0,Product_639,3.0,331.5,994.5
1245,Enterprise,54924.0,2024-03-06 04:30:00,292.0,Product_292,5.0,260.4,1302.0
1245,Enterprise,54924.0,2024-03-06 04:30:00,386.0,Product_386,5.0,297.64,1488.2
1795,Enterprise,54920.0,2024-03-06 03:50:00,331.0,Product_331,4.0,435.26,1741.04
1795,Enterprise,54920.0,2024-03-06 03:50:00,492.0,Product_492,5.0,155.91,779.55
1795,Enterprise,54920.0,2024-03-06 03:50:00,551.0,Product_551,1.0,76.68,76.68
1822,Enterprise,54918.0,2024-03-06 03:30:00,266.0,Product_266,4.0,434.09,1736.36
1822,Enterprise,54918.0,2024-03-06 03:30:00,521.0,Product_521,4.0,204.56,818.24
1529,Enterprise,54901.0,2024-03-06 00:40:00,316.0,Product_316,1.0,364.34,364.34
1529,Enterprise,54901.0,2024-03-06 00:40:00,433.0,Product_433,2.0,449.75,899.5
1529,Enterprise,54901.0,2024-03-06 00:40:00,593.0,Product_593,2.0,447.47,894.94
1702,Enterprise,54898.0,2024-03-06 00:10:00,437.0,Product_437,2.0,293.37,586.74
1702,Enterprise,54898.0,2024-03-06 00:10:00,470.0,Product_470,2.0,123.98,247.96
1702,Enterprise,54898.0,2024-03-06 00:10:00,545.0,Product_545,1.0,271.73,271.73
1611,Enterprise,54895.0,2024-03-05 23:40:00,,,,,
1022,Enterprise,54893.0,2024-03-05 23:20:00,362.0,Product_362,5.0,417.9,2089.5
1209,Enterprise,54892.0,2024-03-05 23:10:00,297.0,Product_297,5.0,207.09,1035.45
1209,Enterprise,54892.0,2024-03-05 23:10:00,678.0,Product_678,3.0,312.27,936.81
