user_id,signup_completed,email_entered,password_created,email_verified,payment_added,first_purchase
USER_000001,1,1,1,1,1,1
USER_000002,1,1,1,1,1,1
USER_000003,1,1,1,1,1,1
USER_000004,1,1,1,1,1,1
USER_000005,1,1,1,1,1,1
USER_000006,1,1,1,1,1,1
USER_000007,1,1,1,1,1,1
USER_000008,1,1,1,1,1,1
USER_000009,1,1,1,1,1,1
USER_000010,1,1,1,1,1,1
USER_000011,1,1,1,1,1,1
USER_000012,1,1,1,1,1,1
USER_000013,1,1,1,1,1,1
USER_000014,1,1,1,1,1,1
USER_000015,1,1,1,1,1,1
USER_000016,1,1,1,1,1,1
USER_000017,1,1,1,1,1,1
USER_000018,1,1,1,1,1,1
USER_000019,1,1,1,1,1,1
USER_000020,1,1,1,1,1,1
USER_000021,1,1,1,1,1,1
USER_000022,1,1,1,1,1,1
USER_000023,1,1,1,1,1,1
USER_000024,1,1,1,1,1,1
USER_000025,1,1,1,1,1,1
USER_000026,1,1,1,1,1,1
USER_000027,1,1,1,1,1,1
USER_000028,1,1,1,1,1,1
USER_000029,1,1,1,1,1,1
USER_000030,1,1,1,1,1,1
USER_000031,1,1,1,1,1,1
USER_000032,1,1,1,1,1,1
USER_000033,1,1,1,1,1,1
USER_000034,1,1,1,1,1,1
USER_000035,1,1,1,1,1,1
USER_000036,1,1,1,1,1,1
USER_000037,1,1,1,1,1,1
USER_000038,1,1,1,1,1,1
USER_000039,1,1,1,1,1,1
USER_000040,1,1,1,1,1,1
USER_000041,1,1,1,1,1,1
USER_000042,1,1,1,1,1,1
USER_000043,1,1,1,1,1,1
USER_000044,1,1,1,1,1,1
USER_000045,1,1,1,1,1,1
USER_000046,1,1,1,1,1,1
USER_000047,1,1,1,1,1,1
USER_000048,1,1,1,1,1,1
USER_000049,1,1,1,1,1,1
USER_000050,1,1,1,1,1,1
USER_000051,1,1,1,1,1,1
USER_000052,1,1,1,1,1,1
USER_000053,1,1,1,1,1,1
USER_000054,1,1,1,1,1,1
USER_000055,1,1,1,1,1,1
USER_000056,1,1,1,1,1,1
USER_000057,1,1,1,1,1,1
USER_000058,1,1,1,1,1,1
USER_000059,1,1,1,1,1,1
USER_000060,1,1,1,1,1,1
USER_000061,1,1,1,1,1,1
USER_000062,1,1,1,1,1,1
USER_000063,1,1,1,1,1,1
USER_000064,1,1,1,1,1,1
USER_000065,1,1,1,1,1,1
USER_000066,1,1,1,1,1,1
USER_000067,1,1,1,1,1,1
USER_000068,1,1,1,1,1,1
USER_000069,1,1,1,1,1,1
USER_000070,1,1,1,1,1,1
USER_000071,1,1,1,1,1,1
USER_000072,1,1,1,1,1,1
USER_000073,1,1,1,1,1,1
USER_000074,1,1,1,1,1,1
USER_000075,1,1,1,1,1,1
USER_000076,1,1,1,1,1,1
USER_000077,1,1,1,1,1,1
USER_000078,1,1,1,1,1,1
USER_000079,1,1,1,1,1,1
USER_000080,1,1,1,1,1,1
USER_000081,1,1,1,1,1,1
USER_000082,1,1,1,1,1,1
USER_000083,1,1,1,1,1,1
USER_000084,1,1,1,1,1,1
USER_000085,1,1,1,1,1,1
USER_000086,1,1,1,1,1,1
USER_000087,1,1,1,1,1,1
USER_000088,1,1,1,1,1,1
USER_000089,1,1,1,1,1,1
USER_000090,1,1,1,1,1,1
USER_000091,1,1,1,1,1,1
USER_000092,1,1,1,1,1,1
USER_000093,1,1,1,1,1,1
USER_000094,1,1,1,1,1,1
USER_000095,1,1,1,1,1,1
USER_000096,1,1,1,1,1,1
USER_000097,1,1,1,1,1,1
USER_000098,1,1,1,1,1,1
USER_000099,1,1,1,1,1,1
USER_000100,1,1,1,1,1,1
USER_000101,1,1,1,1,1,1
USER_000102,1,1,1,1,1,1
USER_000103,1,1,1,1,1,1
USER_000104,1,1,1,1,1,1
USER_000105,1,1,1,1,1,1
USER_000106,1,1,1,1,1,1
USER_000107,1,1,1,1,1,1
USER_000108,1,1,1,1,1,1
USER_000109,1,1,1,1,1,1
USER_000110,1,1,1,1,1,1
USER_000111,1,1,1,1,1,1
USER_000112,1,1,1,1,1,1
USER_000113,1,1,1,1,1,1
USER_000114,1,1,1,1,1,1
USER_000115,1,1,1,1,1,1
USER_000116,1,1,1,1,1,1
USER_000117,1,1,1,1,1,1
USER_000118,1,1,1,1,1,1
USER_000119,1,1,1,1,1,1
USER_000120,1,1,1,1,1,1
USER_000121,1,1,1,1,1,1
USER_000122,1,1,1,1,1,1
USER_000123,1,1,1,1,1,1
USER_000124,1,1,1,1,1,1
USER_000125,1,1,1,1,1,1
USER_000126,1,1,1,1,1,1
USER_000127,1,1,1,1,1,1
USER_000128,1,1,1,1,1,1
USER_000129,1,1,1,1,1,1
USER_000130,1,1,1,1,1,1
USER_000131,1,1,1,1,1,1
USER_000132,1,1,1,1,1,1
USER_000133,1,1,1,1,1,1
USER_000134,1,1,1,1,1,1
USER_000135,1,1,1,1,1,1
USER_000136,1,1,1,1,1,1
USER_000137,1,1,1,1,1,1
USER_000138,1,1,1,1,1,1
USER_000139,1,1,1,1,1,1
USER_000140,1,1,1,1,1,1
USER_000141,1,1,1,1,1,1
USER_000142,1,1,1,1,1,1
USER_000143,1,1,1,1,1,1
USER_000144,1,1,1,1,1,1
USER_000145,1,1,1,1,1,1
USER_000146,1,1,1,1,1,1
USER_000147,1,1,1,1,1,1
USER_000148,1,1,1,1,1,1
USER_000149,1,1,1,1,1,1
USER_000150,1,1,1,1,1,1
