customer_id,revenue
200001,444.96
200002,219.78
200003,18828.79
200004,1353.44
200005,18269.37
200006,210.48
200007,503.24
200008,26804.9
200009,1577.5
200010,411.64
200011,311.06
200012,466.64
200013,162.42
200014,56.31
200015,127.76
200016,439.19
200017,22656.29
200018,142.48
200019,452.38
200020,558.45
200021,309.33
200022,406.15
200023,931.35
200024,979.23
200025,203.35
200026,57.94
200027,389.85
200028,466.93
200029,624.69
200030,133.05
200031,23339.6
200032,29423.6
200033,418.86
200034,65.05
200035,280.25
200036,436.01
200037,585.81
200038,474.37
200039,26583.28
200040,154.51
200041,118.18
200042,77.34
200043,477.12
200044,26672.82
200045,196.4
200046,305.03
200047,279.53
200048,23350.34
200049,78.96
200050,734.19
200051,622.14
200052,285.41
200053,24553.96
200054,205.01
200055,161.26
200056,92.56
200057,72.66
200058,23415.08
200059,27554.64
200060,562.75
200061,359.45
200062,256.97
200063,310.67
200064,326.92
200065,19082.22
200066,1260.09
200067,29281.46
200068,1338.22
200069,575.43
200070,108.68
200071,31359.36
200072,896.41
200073,207.43
200074,22922.41
200075,611.18
200076,94.7
200077,53.23
200078,137.52
200079,732.1
200080,181.28
200081,403.99
200082,375.79
200083,121.68
200084,19942.01
200085,259.59
200086,465.77
200087,301.46
200088,247.76
200089,66.2
200090,24743.69
200091,275.03
200092,93.3
200093,417.76
200094,789.13
200095,78.78
200096,23823.03
200097,227.05
200098,20395.39
200099,907.83
200100,354.98
200101,169.89
200102,627.81
200103,1076.36
200104,799.21
200105,22489.06
200106,173.02
200107,429.36
200108,1499.73
200109,99.37
200110,743.69
200111,384.09
200112,78.6
200113,29920.0
200114,73.78
200115,364.58
200116,618.64
200117,659.4
200118,29006.53
200119,395.64
200120,593.9
200121,116.64
200122,23960.8
200123,19536.7
200124,260.65
200125,212.29
200126,26230.45
200127,97.73
200128,100.47
200129,203.08
200130,431.51
200131,196.73
200132,339.09
200133,417.07
200134,99.24
200135,818.59
200136,765.94
200137,536.86
200138,192.94
200139,572.9
200140,161.89
200141,404.07
200142,337.06
200143,103.66
200144,765.88
200145,193.11
200146,121.54
200147,29998.48
200148,352.19
200149,823.85
200150,24146.17
200151,15026.92
200152,248.02
200153,1037.38
200154,265.54
200155,452.37
200156,384.85
200157,77.97
200158,16739.67
200159,120.91
200160,340.6
200161,1095.17
200162,56.97
200163,27343.62
200164,25527.71
200165,1044.91
200166,381.88
200167,186.63
200168,63.03
200169,142.56
200170,21033.21
200171,128.33
200172,187.31
200173,996.66
200174,409.56
200175,121.74
200176,878.51
200177,75.16
200178,520.22
200179,337.69
200180,82.47
200181,26031.9
200182,510.21
200183,22104.04
200184,1031.78
200185,109.36
200186,1439.34
200187,120.36
200188,193.95
200189,431.38
200190,291.51
200191,32693.78
200192,52.42
200193,165.88
200194,315.97
200195,91.8
200196,27849.29
200197,959.26
200198,24762.34
200199,164.32
200200,56.5
200201,29762.19
200202,619.45
200203,87.86
200204,68.43
200205,667.05
200206,224.79
200207,562.85
200208,21098.54
200209,993.75
200210,104.79
200211,316.07
200212,781.52
200213,413.28
200214,91.18
200215,423.91
200216,184.52
200217,23654.45
200218,1240.29
200219,627.31
200220,24776.32
200221,918.69
200222,13282.21
200223,148.81
200224,439.7
200225,213.52
200226,206.3
200227,164.37
200228,892.56
200229,654.92
200230,27381.96
200231,23679.52
200232,462.49
200233,700.74
200234,449.35
200235,426.08
200236,241.88
200237,23447.03
200238,141.14
200239,87.88
200240,108.92
200241,154.78
200242,182.57
200243,62.89
200244,16240.31
200245,289.73
200246,27715.73
200247,479.39
200248,56.76
200249,430.1
200250,567.82
200251,51.94
200252,146.24
200253,518.84
200254,93.58
200255,279.22
200256,139.9
200257,1486.99
200258,85.59
200259,24109.12
200260,771.57
200261,1367.27
200262,102.82
200263,378.06
200264,435.66
200265,231.44
200266,51.86
200267,158.2
200268,199.75
200269,217.42
200270,296.48
200271,354.02
200272,1253.18
200273,192.74
200274,91.07
200275,306.94
200276,117.28
200277,358.47
200278,197.54
200279,221.96
200280,344.02
200281,266.78
200282,60.83
200283,88.8
200284,487.32
200285,729.47
200286,56.83
200287,19601.7
200288,100.95
200289,75.87
200290,110.83
200291,372.85
200292,136.02
200293,419.08
200294,477.82
200295,470.97
200296,333.73
200297,1255.54
200298,300.21
200299,282.94
200300,245.8
200301,337.48
200302,606.79
200303,580.78
200304,134.46
200305,26170.86
200306,111.22
200307,668.94
200308,1353.24
200309,532.95
200310,446.42
200311,170.48
200312,465.14
200313,65.0
200314,26274.08
200315,349.05
200316,26553.25
200317,127.66
200318,27585.96
200319,182.74
200320,25794.72
200321,76.19
200322,656.03
200323,338.53
200324,37972.37
200325,29691.03
200326,391.09
200327,302.71
200328,50.47
200329,210.8
200330,272.98
200331,24620.7
200332,225.96
200333,886.75
200334,114.21
200335,17568.39
200336,71.12
200337,297.97
200338,64.02
200339,31614.47
200340,20427.92
200341,403.67
200342,1059.1
200343,537.13
200344,611.06
200345,363.15
200346,146.94
200347,905.8
200348,130.6
200349,54.26
200350,76.93
200351,575.28
200352,352.28
200353,145.83
200354,1105.07
200355,879.19
200356,756.18
200357,1290.99
200358,362.26
200359,30789.22
200360,813.4
200361,21687.21
200362,702.03
200363,282.05
200364,245.23
200365,111.03
200366,249.22
200367,18373.51
200368,370.09
200369,28075.36
200370,316.79
200371,94.2
200372,384.2
200373,2013.06
200374,580.53
200375,23949.36
200376,137.01
200377,447.82
200378,24218.44
200379,60.84
200380,133.0
200381,706.99
200382,392.58
200383,1223.61
200384,30803.71
200385,169.75
200386,329.65
200387,665.09
200388,19894.78
200389,249.58
200390,563.33
200391,288.29
200392,1090.79
200393,56.77
200394,27212.6
200395,378.24
200396,162.41
200397,27412.99
200398,268.22
200399,291.07
200400,187.74
200401,17367.99
200402,415.95
200403,28029.98
200404,412.22
200405,831.15
200406,21747.94
200407,190.28
200408,30115.46
200409,603.83
200410,511.83
200411,331.59
200412,52.44
200413,94.9
200414,76.95
200415,177.98
200416,287.41
200417,32589.15
200418,67.81
200419,1516.61
200420,542.33
200421,400.14
200422,219.09
200423,1223.5
200424,465.58
200425,160.54
200426,381.11
200427,1060.51
200428,699.48
200429,253.21
200430,219.87
200431,207.25
200432,28574.79
200433,188.5
200434,310.19
200435,201.43
200436,452.11
200437,176.05
200438,75.78
200439,240.22
200440,1017.38
200441,392.93
200442,441.92
200443,68.57
200444,176.48
200445,71.71
200446,134.59
200447,600.85
200448,23693.22
200449,404.11
200450,432.97
200451,130.92
200452,22285.43
200453,258.63
200454,21486.71
200455,557.62
200456,390.82
200457,59.0
200458,105.77
200459,472.72
200460,322.01
200461,291.38
200462,667.6
200463,153.72
200464,321.77
200465,28517.67
200466,89.96
200467,87.61
200468,749.21
200469,653.76
200470,294.77
200471,256.71
200472,24546.08
200473,550.33
200474,142.11
200475,25009.15
200476,913.04
200477,434.22
200478,382.53
200479,293.02
200480,488.18
200481,443.15
200482,224.41
200483,464.4
200484,1103.54
200485,334.78
200486,173.4
200487,21381.54
200488,701.76
200489,74.3
200490,712.18
200491,121.82
200492,490.54
200493,33499.09
200494,1440.61
200495,437.18
200496,107.08
200497,176.3
200498,323.03
200499,27748.26
200500,53.49
200501,64.99
200502,27533.31
200503,321.28
200504,203.42
200505,659.53
200506,242.92
200507,167.76
200508,271.35
200509,1025.0
200510,73.96
200511,356.17
200512,283.8
200513,127.96
200514,94.65
200515,87.26
200516,538.58
200517,29939.01
200518,522.12
200519,782.47
200520,19607.81
200521,252.77
200522,541.2
200523,141.4
200524,188.62
200525,24283.63
200526,25897.36
200527,23168.61
200528,66.08
200529,84.5
200530,445.47
200531,30087.57
200532,68.69
200533,324.5
200534,511.16
200535,623.95
200536,154.41
200537,432.81
200538,70.75
200539,52.02
200540,165.44
200541,192.39
200542,73.15
200543,400.48
200544,387.05
200545,152.14
200546,435.83
200547,177.65
200548,138.58
200549,33061.1
200550,163.44
200551,292.85
200552,345.02
200553,63.08
200554,1156.42
200555,28280.63
200556,23089.42
200557,1156.06
200558,32185.44
200559,68.16
200560,200.61
200561,674.61
200562,261.34
200563,2753.24
200564,726.97
200565,25319.21
200566,59.14
200567,840.58
200568,130.29
200569,345.89
200570,972.43
200571,229.29
200572,839.98
200573,24452.02
200574,82.19
200575,2105.15
200576,479.94
200577,176.81
200578,87.12
200579,617.17
200580,180.06
200581,79.85
200582,238.11
200583,130.15
200584,217.19
200585,572.46
200586,26124.04
200587,609.36
200588,150.53
200589,416.65
200590,24308.79
200591,371.15
200592,22446.87
200593,85.09
200594,680.49
200595,279.47
200596,120.24
200597,26470.48
200598,31518.57
200599,678.82
200600,462.68
200601,224.57
200602,109.56
200603,80.54
200604,173.86
200605,294.45
200606,16671.61
200607,957.75
200608,377.55
200609,159.0
200610,25537.19
200611,68.97
200612,20263.88
200613,203.27
200614,971.29
200615,257.6
200616,125.99
200617,1016.67
200618,734.02
200619,171.51
200620,20872.18
200621,149.34
200622,695.88
200623,485.9
200624,22529.43
200625,207.89
200626,17353.44
200627,866.19
200628,17592.63
200629,28128.52
200630,88.52
200631,225.96
200632,65.03
200633,198.21
200634,285.25
200635,1440.45
200636,428.63
200637,29770.94
200638,97.24
200639,462.78
200640,26857.48
200641,25896.94
200642,113.04
200643,334.87
