customer_id,customer_type,product,revenue,churn,support_tickets
CUST_00001,SMB,Cloud Pro,824.4,0,5
CUST_00002,Startup,Analytics Suite,417.31,0,0
CUST_00003,Startup,Enterprise Core,510.16,0,2
CUST_00004,Startup,Analytics Suite,386.9,0,3
CUST_00005,SMB,Enterprise Core,687.49,0,5
CUST_00006,SMB,Analytics Suite,894.19,0,3
CUST_00007,SMB,Analytics Suite,853.08,0,5
CUST_00008,Startup,Enterprise Core,418.97,0,1
CUST_00009,Startup,Cloud Pro,392.79,0,6
CUST_00010,Startup,Analytics Suite,207.86,1,3
CUST_00011,Enterprise,Cloud Pro,12743.03,0,0
CUST_00012,Startup,Enterprise Core,560.25,0,5
CUST_00013,Startup,Enterprise Core,470.82,0,1
CUST_00014,SMB,Cloud Pro,687.36,1,5
CUST_00015,SMB,Analytics Suite,914.73,0,6
CUST_00016,SMB,Enterprise Core,1229.69,0,6
CUST_00017,SMB,Cloud Pro,933.04,0,5
CUST_00018,Startup,Analytics Suite,459.64,0,7
CUST_00019,SMB,Enterprise Core,962.57,0,1
CUST_00020,SMB,Cloud Pro,1197.15,0,4
CUST_00021,Startup,Analytics Suite,527.1,0,4
CUST_00022,SMB,Cloud Pro,1060.84,0,6
CUST_00023,SMB,Enterprise Core,886.94,0,9
CUST_00024,SMB,Enterprise Core,917.86,0,3
CUST_00025,Startup,Enterprise Core,459.79,0,4
CUST_00026,Startup,Analytics Suite,552.43,0,0
CUST_00027,SMB,Enterprise Core,1205.74,0,8
CUST_00028,Startup,Enterprise Core,368.33,0,5
CUST_00029,Startup,Cloud Pro,446.47,0,4
CUST_00030,Enterprise,Enterprise Core,13818.93,0,1
CUST_00031,Startup,Cloud Pro,588.87,0,3
CUST_00032,SMB,Analytics Suite,894.65,1,1
CUST_00033,SMB,Cloud Pro,622.96,0,3
CUST_00034,Startup,Cloud Pro,470.37,0,4
CUST_00035,Startup,Cloud Pro,489.56,0,0
CUST_00036,Startup,Analytics Suite,483.12,0,3
CUST_00037,SMB,Cloud Pro,1069.51,1,7
CUST_00038,SMB,Analytics Suite,1232.7,0,9
CUST_00039,Startup,Cloud Pro,403.45,0,6
CUST_00040,SMB,Cloud Pro,1006.03,1,3
CUST_00041,SMB,Analytics Suite,914.14,0,4
CUST_00042,Startup,Enterprise Core,430.76,0,1
CUST_00043,Enterprise,Cloud Pro,16168.96,0,1
