transaction_id,customer_id,customer_type,product,transaction_date,amount,status,acquisition_cost
TX_00000001,CUST_000001,SMB,Enterprise Core,2026-06-13 14:12:40.227522,89.29,SUCCESS,32.0
TX_00000002,CUST_000001,SMB,Enterprise Core,2026-06-19 14:12:40.227522,66.27,SUCCESS,32.0
TX_00000003,CUST_000001,SMB,Cloud Pro,2026-07-26 14:12:40.227873,62.94,SUCCESS,32.0
TX_00000004,CUST_000001,SMB,Cloud Pro,2026-08-05 14:12:40.227902,97.23,SUCCESS,32.0
TX_00000005,CUST_000002,Startup,Analytics Suite,2026-06-16 14:12:40.227522,50.91,SUCCESS,18.0
TX_00000006,CUST_000002,Startup,Cloud Pro,2026-07-08 14:12:40.227522,51.8,SUCCESS,18.0
TX_00000007,CUST_000002,Startup,Analytics Suite,2026-07-20 14:12:40.227962,39.74,SUCCESS,18.0
TX_00000008,CUST_000003,Startup,Analytics Suite,2026-06-15 14:12:40.227522,45.32,SUCCESS,18.0
TX_00000009,CUST_000003,Startup,Enterprise Core,2026-08-01 14:12:40.227999,54.94,SUCCESS,18.0
TX_00000010,CUST_000003,Startup,Analytics Suite,2026-07-20 14:12:40.228018,51.46,SUCCESS,18.0
TX_00000011,CUST_000003,Startup,Analytics Suite,2026-07-14 14:12:40.228035,21.28,SUCCESS,18.0
TX_00000012,CUST_000004,Startup,Cloud Pro,2026-07-08 14:12:40.227522,65.42,SUCCESS,18.0
TX_00000013,CUST_000004,Startup,Cloud Pro,2026-06-30 14:12:40.227522,40.94,SUCCESS,18.0
TX_00000014,CUST_000004,Startup,Analytics Suite,2026-07-03 14:12:40.227522,38.83,SUCCESS,18.0
TX_00000015,CUST_000004,Startup,Cloud Pro,2026-07-23 14:12:40.228095,42.62,SUCCESS,18.0
TX_00000016,CUST_000004,Startup,Cloud Pro,2026-07-18 14:12:40.228113,32.59,SUCCESS,18.0
TX_00000017,CUST_000004,Startup,Analytics Suite,2026-08-10 14:12:40.228129,55.8,SUCCESS,18.0
TX_00000018,CUST_000005,SMB,Analytics Suite,2026-06-16 14:12:40.227522,104.14,SUCCESS,32.0
TX_00000019,CUST_000005,SMB,Enterprise Core,2026-06-14 14:12:40.227522,101.28,SUCCESS,32.0
TX_00000020,CUST_000005,SMB,Enterprise Core,2026-06-13 14:12:40.227522,95.38,SUCCESS,32.0
TX_00000021,CUST_000005,SMB,Enterprise Core,2026-08-05 14:12:40.228189,87.53,SUCCESS,32.0
TX_00000022,CUST_000005,SMB,Cloud Pro,2026-08-01 14:12:40.228204,88.24,SUCCESS,32.0
TX_00000023,CUST_000005,SMB,Analytics Suite,2026-08-09 14:12:40.228219,93.01,SUCCESS,32.0
TX_00000024,CUST_000006,SMB,Cloud Pro,2026-07-01 14:12:40.227522,99.13,SUCCESS,32.0
TX_00000025,CUST_000006,SMB,Cloud Pro,2026-06-26 14:12:40.227522,98.6,SUCCESS,32.0
TX_00000026,CUST_000006,SMB,Cloud Pro,2026-08-03 14:12:40.228264,100.92,SUCCESS,32.0
TX_00000027,CUST_000006,SMB,Cloud Pro,2026-07-15 14:12:40.228279,89.93,SUCCESS,32.0
TX_00000028,CUST_000007,Enterprise,Analytics Suite,2026-06-16 14:12:40.227522,261.12,SUCCESS,45.0
TX_00000029,CUST_000007,Enterprise,Analytics Suite,2026-07-07 14:12:40.227522,259.33,SUCCESS,45.0
TX_00000030,CUST_000007,Enterprise,Enterprise Core,2026-07-01 14:12:40.227522,202.64,SUCCESS,45.0
TX_00000031,CUST_000008,Startup,Enterprise Core,2026-06-24 14:12:40.227522,49.6,SUCCESS,18.0
TX_00000032,CUST_000008,Startup,Analytics Suite,2026-07-06 14:12:40.227522,67.44,SUCCESS,18.0
TX_00000033,CUST_000008,Startup,Cloud Pro,2026-07-20 14:12:40.228406,46.24,SUCCESS,18.0
TX_00000034,CUST_000009,Startup,Analytics Suite,2026-07-08 14:12:40.227522,38.74,SUCCESS,18.0
TX_00000035,CUST_000009,Startup,Cloud Pro,2026-07-01 14:12:40.227522,27.2,FAILED,18.0
TX_00000036,CUST_000009,Startup,Cloud Pro,2026-07-23 14:12:40.228457,48.41,SUCCESS,18.0
TX_00000037,CUST_000010,Startup,Analytics Suite,2026-06-15 14:12:40.227522,39.2,SUCCESS,18.0
TX_00000038,CUST_000010,Startup,Analytics Suite,2026-06-24 14:12:40.227522,33.44,SUCCESS,18.0
TX_00000039,CUST_000010,Startup,Enterprise Core,2026-07-01 14:12:40.227522,46.07,SUCCESS,18.0
TX_00000040,CUST_000010,Startup,Cloud Pro,2026-08-05 14:12:40.228516,48.87,SUCCESS,18.0
TX_00000041,CUST_000010,Startup,Analytics Suite,2026-07-21 14:12:40.228531,47.07,SUCCESS,18.0
TX_00000042,CUST_000010,Startup,Cloud Pro,2026-07-20 14:12:40.228546,39.46,SUCCESS,18.0
TX_00000043,CUST_000011,Enterprise,Cloud Pro,2026-06-11 14:12:40.227522,235.72,SUCCESS,45.0
TX_00000044,CUST_000011,Enterprise,Enterprise Core,2026-07-28 14:12:40.228578,247.92,SUCCESS,45.0
TX_00000045,CUST_000011,Enterprise,Cloud Pro,2026-07-20 14:12:40.228594,262.62,SUCCESS,45.0
TX_00000046,CUST_000011,Enterprise,Enterprise Core,2026-07-26 14:12:40.228609,232.66,SUCCESS,45.0
TX_00000047,CUST_000012,Startup,Enterprise Core,2026-06-25 14:12:40.227522,53.57,SUCCESS,18.0
TX_00000048,CUST_000012,Startup,Enterprise Core,2026-06-29 14:12:40.227522,61.77,SUCCESS,18.0
